_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,please_identify_if_the_sentence_is_a_gender_generalization_refer_to_the_rules_provided_above,please_identify_if_the_sentence_is_a_gender_generalization_refer_to_the_rules_provided_above:confidence,orig__golden,fieldname_gold,fieldname_gold_reason,please_identify_if_the_sentence_is_a_gender_generalization_refer_to_the_rules_provided_above_gold,sentence,source
2268314409,FALSE,finalized,3,5/2/2019 4:06,not_a_gender_generalization,0.6549,,,,," ) Finchden: a fortiori in this case; for there the action [397] was maintained because the plaintiff was tenant of the land from which the suit was due, and here he is tenant of the manor where the chapel is.",Common Law
2268314410,FALSE,finalized,3,5/2/2019 3:31,not_a_gender_generalization,0.6704,,,,,----------------------------------------------------------- {406} Scout Masters' Manual A handbook especially prepared to aid the scout master in his work with boys.,boy scouts 
2268314411,FALSE,finalized,3,5/2/2019 12:32,gender_generalization,0.6308,,,,,$1.50   Ought to make any boy happy and will furnish him some delightful   hours.,boy scouts 
2268314412,FALSE,finalized,3,5/2/2019 3:15,gender_generalization,0.6566,,,,,"(10) If anyone who has borrowed a sum of money from Jews dies before the debt has been repaid, his heir shall pay no interest on the debt for so long as he remains under age, irrespective of whom he holds his lands.",magna carta
2268314413,FALSE,finalized,3,5/2/2019 3:54,not_a_gender_generalization,1,,,,,"(27) If a free man dies intestate, his movable goods are to be distributed by his next-of-kin and friends, under the supervision of the Church.",magna carta
2268314414,FALSE,finalized,3,5/2/2019 4:20,not_a_gender_generalization,0.6519,,,,,"(37) If a man holds land of the Crown by `fee-farm', `socage', or `burgage', and also holds land of someone else for knight's service, we will not have guardianship of his heir, nor of the land that belongs to the other person's `fee', by virtue of the `fee-farm', `socage', or `burgage', unless the `fee-farm' owes knight's service.",magna carta
2268314415,FALSE,finalized,3,5/2/2019 14:39,gender_generalization,1,,,,,"(a) SERIOUS WOUNDS; (b) SERIOUS BLEEDING Send for the doctor at once, and then stop the bleeding and keep as clean as possible till he arrives.",girl scouts
2268314416,FALSE,finalized,3,5/2/2019 4:12,gender_generalization,0.68,,,,,"(c) _Improvised Stretcher._ When the patient shows any sign of shock, is unconscious, has a serious fracture of some bone or bones, has a serious injury to any part of the body, or is bleeding excessively, he must be carried lying down.",girl scouts
2268314417,FALSE,finalized,3,5/2/2019 14:05,gender_generalization,0.6924,,,,,"(If the patient feels cold, leave as many blankets as necessary to keep her warm.)",girl scouts
2268314418,FALSE,finalized,3,5/2/2019 4:14,not_a_gender_generalization,0.7037,,,,,"(The student is here advised to turn to the conclusion of Lesson VI, of this book, and acquaint himself with the Simpler Method there described.",mind reading
